Date,Open,High,Low,Close,Adj Close,Volume,ADTV 10,ADTV Std 10
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000,0,0
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,0,0
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500,0,0
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500,0,0
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000,0,0
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,0,0
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,0,0
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,0,0
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,0,0
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,0,0
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,23064650,9361433
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,24044465,10089920
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,21621646,9795481
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,18544764,8938864
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,14860276,5615639
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,12793327,5625831
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,11946482,5928233
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500,10831598,6233334
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,8856109,5253474
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,7096660,3877507
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,5823516,3233826
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,4812001,2094547
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,4413450,1470688
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,4203845,1262684
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,4102084,1212099
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500,4136058,1200727
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500,4084705,1172432
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500,4410370,1405845
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000,4608137,1303562
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000,4665413,1283835
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000,4774691,1149491
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000,4669469,1272703
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500,4267646,1205649
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500,4071614,1182391
2010-08-19,3.708,3.85,3.666,3.758,3.758,2895500,3943461,1189441
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000,3707696,1332152
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500,3821819,1460765
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500,3529131,1084995
2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500,3352713,1050265
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000,3206471,1059565
2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000,3064647,1087516
2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000,3173964,1110523
2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500,3061496,1237788
2010-09-01,3.924,4.138,3.92,4.09,4.09,2474500,2997049,1233961
2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500,2944604,1232467
2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000,3008660,1182213
2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000,2592716,839018
2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000,2358771,774988
2010-09-09,4.2,4.21,4.138,4.142,4.142,1881000,2271827,756551
2010-09-10,4.15,4.186,3.952,4.034,4.034,1933000,2239532,753044
2010-09-13,4.178,4.18,4.1,4.144,4.144,1804000,2226903,754032
2010-09-14,4.108,4.32,4.106,4.224,4.224,3273500,2186590,672307
2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000,2424309,716113
2010-09-16,4.43,4.632,4.168,4.188,4.188,13422500,3542880,3449599
2010-09-17,4.204,4.264,3.96,4.046,4.046,5992500,4010438,3534099
2010-09-20,4.134,4.27,4.032,4.212,4.212,4737500,4313643,3515162
2010-09-21,4.178,4.31,4.134,4.154,4.154,3980000,4620264,3402806
2010-09-22,4.174,4.19,3.96,3.974,3.974,4814500,4988176,3282886
2010-09-23,3.978,4.028,3.9,3.912,3.912,3340500,5170917,3198794
2010-09-24,3.99,4.038,3.93,4.02,4.02,2894500,5285341,3131664
2010-09-27,4.08,4.162,4.01,4.106,4.106,2093000,5325684,3107325
2010-09-28,4.208,4.298,4.152,4.28,4.28,6072500,5609618,3084138
2010-09-29,4.238,4.406,4.226,4.396,4.396,9846500,6280361,3336393
2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000,6103086,2825620
2010-10-01,4.138,4.15,4.062,4.12,4.12,2988500,5784958,2909202
2010-10-04,4.086,4.234,4.06,4.198,4.198,3218000,5601195,2960791
2010-10-05,4.23,4.256,4.202,4.224,4.224,1660000,5350819,3116663
2010-10-06,4.212,4.252,4.064,4.092,4.092,1567000,5001031,3258814
2010-10-07,4.114,4.128,4.068,4.086,4.086,705000,4702503,3435406
2010-10-08,4.086,4.158,4.078,4.086,4.086,1339000,4517100,3521036
2010-10-11,4.088,4.14,4.014,4.048,4.048,856000,4374860,3605787
2010-10-12,4.04,4.056,4.006,4.048,4.048,1220000,3875386,3608645
2010-10-13,4.128,4.17,4.072,4.108,4.108,1591000,2999888,2921244
2010-10-14,4.2,4.206,4.08,4.15,4.15,1474000,1961838,836376
2010-10-15,4.178,4.18,4.05,4.108,4.108,1423500,1701533,673208
2010-10-18,4.104,4.128,4.044,4.046,4.046,814000,1435103,374648
2010-10-19,4.04,4.082,4.0,4.01,4.01,1226000,1365060,338623
2010-10-20,4.032,4.138,4.008,4.13,4.13,1562500,1357606,335254
2010-10-21,4.122,4.19,4.09,4.15,4.15,2085500,1494910,375789
2010-10-22,4.136,4.186,4.11,4.144,4.144,805500,1455291,415812
2010-10-25,4.188,4.196,4.146,4.17,4.17,592500,1424979,449093
2010-10-26,4.16,4.374,4.102,4.272,4.272,3304500,1630397,753053
2010-10-27,4.25,4.276,4.13,4.2,4.2,1782500,1670089,761981
2010-10-28,4.278,4.3,4.192,4.238,4.238,1121000,1638758,771669
2010-10-29,4.228,4.37,4.21,4.368,4.368,1403000,1633575,771149
2010-11-01,4.388,4.55,4.262,4.282,4.282,2279000,1779557,771714
